player_name,nationality,position,club,league,age,birth_year,primary_position,matches_played,matches_started,minutes_played,games_equivalent,goals,assists,goals_assists,nonpenalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,progressive_carries,progressive_passes,progressive_receptions,xg,npxg,xag,npxg_plus_xag,goals_assists_nopenalty,xg_plus_xag,xa,goals_vs_xg,npgoals_vs_xg,assists_vs_xag,shots,shots_on_target,freekick_shots,passes_completed,passes_attempted,pass_total_distance,pass_progressive_distance,key_passes,passes_final_third,passes_penalty_area,crosses_penalty_area,live_ball_passes,dead_ball_passes,freekick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswing_corners,outswing_corners,straight_corners,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,dribbles_challenged,dribbles_challenged_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_interceptions,clearances,errors_leading_to_shot,shot_creating_actions,sca_live_pass,sca_dead_pass,sca_takeons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creating_actions,touches,touches_own_box,touches_def_third,touches_mid_third,touches_att_third,touches_opp_box,live_ball_touches,dribbles_attempted,dribbles_successful,times_tackled_dribbling,carries,carry_progressive_distance,carries_final_third,carries_penalty_area,miscontrols,dispossessed,passes_received,second_yellow_cards,fouls_committed,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,recoveries,aerial_duels_won,aerial_duels_lost,goals_conceded,shots_on_target_faced,saves,gk_wins,gk_draws,gk_losses,clean_sheets,penalties_faced,penalties_scored_against,penalties_saved,penalties_missed_by_shooter,post_shot_xg,post_shot_xg_difference,gk_passes_completed,gk_passes_attempted,goal_kicks,gk_throws,crosses_faced,crosses_stopped,sweeper_actions,shot_accuracy_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,npxg_per_shot,pass_completion_pct,tackle_success_pct,shot_creating_actions_per90,goal_creating_actions_per90,dribble_success_pct,tackled_while_dribbling_pct,aerial_duel_win_pct,goals_conceded_per90,save_pct,clean_sheet_pct,post_shot_xg_per_shot,psxg_difference_per90,gk_pass_completion_pct,long_pass_pct,avg_pass_length,cross_stop_pct,sweeper_actions_per90,avg_sweeper_distance,sufficient_minutes,goals+_per90,assists+_per90,shots+_per90,shots_on_target+_per90,key_passes+_per90,progressive_carries+_per90,progressive_passes+_per90,tackles+_per90,interceptions+_per90,clearances+_per90,xg+_per90,xag+_per90
Aaron Ciammaglichella,it ITA,MF,Torino,Serie A,19,2005,MF,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,False,,,,,,,,,,,,
Aaron Cresswell,eng ENG,DF,West Ham,Premier League,34,1989,DF,18,10,824,9.2,0,0,0,0,0,0,3,0,6,36,4,0.2,0.2,1.3,1.6,0.0,0.17,1.9,-0.2,-0.2,-1.3,5,0,2,504,610,9299,3625,9,52,5,2,511,98,33,1,5,36,52,13,11,2,0,11,7,5,5,1,11,2,9,4,5,8,19,37,0,15,7,8,0,0,0,0,0,687,45,270,328,94,2,687,2,1,1,291,526,8,0,4,0,437,0,4,2,0,0,0,0,36,7,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.55,0.0,0.0,,23.8,0.05,82.6,81.8,1.64,0.0,50.0,50.0,50.0,0.0,,,,0.0,,,0.0,,0.0,0.0,False,0.0,0.0,0.54,0.0,0.98,0.65,3.91,1.2,0.87,4.02,0.02,0.14
Aaron Malouda,fr FRA,FW,Lille,Ligue 1,18,2005,FW,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,False,,,,,,,,,,,,
Aaron Ramsdale,eng ENG,GK,Southampton,Premier League,26,1998,GK,30,30,2700,30.0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0,0,0,774,1223,21949,16992,0,36,1,0,918,298,108,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,2,10,3,3,2,1,0,0,0,0,0,1314,946,1286,32,0,0,1314,0,0,0,786,2349,0,0,3,0,702,0,1,4,0,0,0,0,23,6,0,66,188,120,2,5,23,3,7,5,2,0,63.5,-2.5,196,605,1026,129,457,25,20,,0.0,0.0,,,,,63.3,0.0,0.1,0.0,,,100.0,2.2,67.6,10.0,0.32,-0.08,32.4,44.6,36.0,5.5,0.67,11.7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.33,0.0,0.0
Aaron Wan-Bissaka,eng ENG,DF,West Ham,Premier League,26,1997,DF,36,35,3154,35.0,2,5,7,2,0,0,1,0,110,149,167,1.2,1.2,3.5,4.7,0.2,0.14,2.8,0.8,0.8,1.5,16,5,0,1472,1815,20696,7523,33,94,35,11,1568,243,11,5,1,76,232,0,0,0,0,70,49,33,32,5,32,9,37,11,26,66,136,125,0,93,75,4,7,3,2,2,10,2256,147,682,969,637,48,2256,122,64,43,1092,3661,65,15,35,22,1322,0,25,27,5,0,0,1,174,22,33,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,31.3,0.46,0.14,0.13,0.4,15.1,0.07,81.1,71.9,2.65,0.29,52.5,35.2,40.0,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.06,0.14,0.46,0.14,0.94,3.14,4.26,2.0,1.89,3.57,0.03,0.1
Aarón Martín,es ESP,DF,Genoa,Serie A,27,1997,DF,36,35,3085,34.3,0,8,8,0,0,0,5,0,50,90,108,0.9,0.9,5.5,6.4,0.23,0.19,6.1,-0.9,-0.9,2.5,16,4,5,1221,1685,23065,8738,65,77,30,21,1226,454,93,0,3,256,255,106,47,54,0,71,47,41,26,4,51,18,33,11,22,19,90,73,1,95,42,48,2,1,2,0,13,1951,87,566,802,608,20,1951,27,12,12,878,2293,31,4,22,17,1039,0,38,28,4,0,1,0,146,20,33,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,25.0,0.4699999999999999,0.12,0.0,0.0,23.6,0.06,72.5,64.7,2.77,0.38,44.4,44.4,37.7,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.0,0.23,0.47,0.12,1.9,1.46,2.62,2.07,0.55,2.13,0.03,0.16
Abakar Sylla,ci CIV,DF,Strasbourg,Ligue 1,21,2002,DF,21,10,950,10.6,1,0,1,1,0,0,2,1,0,21,3,0.4,0.4,0.1,0.5,0.09,0.05,0.1,0.6,0.6,-0.1,5,1,0,583,658,9980,3603,1,21,1,0,589,69,25,0,1,1,12,0,0,0,0,27,15,14,11,2,17,2,18,10,8,11,38,63,0,4,3,0,0,1,0,0,1,791,151,510,258,26,9,791,6,3,3,425,618,1,0,5,4,497,0,17,7,0,0,0,1,39,20,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,20.0,0.47,0.09,0.2,1.0,9.0,0.08,88.6,88.2,0.38,0.09,50.0,50.0,57.1,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.09,0.0,0.47,0.09,0.09,0.0,1.98,2.55,1.04,5.94,0.04,0.01
Abdallah Sima,sn SEN,"FW,MF",Brest,Ligue 1,23,2001,FW,27,14,1238,13.8,7,2,9,7,0,0,2,0,36,24,92,5.9,5.9,1.0,6.9,0.65,0.5,0.9,1.1,1.1,1.0,37,18,0,231,332,3140,660,13,13,6,1,327,5,2,0,1,16,3,0,0,0,0,15,11,2,5,8,11,7,9,1,8,1,16,9,0,28,20,0,1,4,3,0,3,510,10,66,194,256,66,510,23,6,13,299,711,16,20,53,22,378,0,16,25,4,0,0,0,61,41,44,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,48.6,2.69,1.31,0.19,0.39,13.1,0.16,69.6,36.4,2.04,0.22,26.1,56.5,48.2,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.51,0.14,2.68,1.3,0.94,2.61,1.74,1.09,0.07,0.65,0.43,0.07
Abde Ezzalzouli,ma MAR,"FW,MF",Betis,La Liga,22,2001,FW,32,23,1984,22.0,2,2,4,2,0,1,2,0,117,68,215,8.0,7.2,2.0,9.3,0.18,0.46,2.1,-6.0,-5.2,0.0,61,25,1,542,757,6695,1928,27,42,19,2,732,23,6,2,4,49,15,1,0,0,0,37,25,17,16,4,27,12,22,3,19,7,44,19,0,66,43,0,10,8,4,1,7,1081,10,120,407,585,151,1080,103,46,37,706,3025,75,58,64,50,797,0,23,38,4,2,0,0,102,26,37,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,41.0,2.77,1.13,0.03,0.08,15.6,0.12,71.6,55.6,2.99,0.32,44.7,35.9,41.3,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.09,0.09,2.77,1.14,1.23,5.32,3.09,1.68,0.32,0.86,0.36,0.09
Abdel Abqar,ma MAR,DF,Alavés,La Liga,25,1999,DF,29,29,2463,27.4,0,1,1,0,0,0,13,0,16,79,4,0.9,0.9,0.3,1.2,0.04,0.04,0.4,-0.9,-0.9,0.7,12,1,0,719,939,16039,5771,8,67,10,2,888,48,40,1,17,5,7,0,0,0,0,36,23,24,11,1,34,14,28,18,10,39,75,146,1,25,20,0,0,2,1,2,3,1251,160,659,545,58,25,1251,4,3,1,632,2013,7,0,18,3,650,0,47,31,2,1,2,0,87,40,35,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,8.3,0.44,0.04,0.0,0.0,8.0,0.08,76.6,58.8,0.9099999999999999,0.11,75.0,25.0,53.3,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.0,0.04,0.44,0.04,0.29,0.58,2.88,1.31,1.42,5.33,0.03,0.01
Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,La Liga,25,1998,FW,8,4,385,4.3,0,0,0,0,0,0,1,0,16,5,34,0.2,0.2,0.3,0.5,0.0,0.11,0.4,-0.2,-0.2,-0.3,6,1,0,74,118,1234,255,6,2,5,3,108,10,1,0,1,17,2,7,4,0,0,3,2,3,0,0,6,6,4,0,4,0,3,6,0,10,7,0,1,2,0,0,0,173,4,27,62,85,18,173,14,3,9,103,389,6,7,9,5,107,0,5,6,2,0,0,0,16,1,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,16.7,1.4,0.22999999999999998,0.0,0.0,20.3,0.03,62.7,0.0,2.34,0.0,21.4,64.3,8.3,0.0,,,,0.0,,,0.0,,0.0,0.0,False,0.0,0.0,1.4,0.23,1.4,3.72,1.16,0.7,0.0,1.4,0.05,0.07
Abdou Harroui,nl NED,"MF,FW",Hellas Verona,Serie A,26,1998,MF,10,5,463,5.1,1,2,3,1,0,0,1,0,23,21,34,2.2,2.2,0.4,2.6,0.58,0.51,0.6,-1.2,-1.2,1.6,15,4,1,160,202,2324,580,4,16,3,2,197,4,1,1,0,9,3,0,0,0,0,9,6,6,3,0,4,0,5,0,5,2,11,5,0,15,13,0,2,0,0,0,3,283,5,41,144,105,17,283,20,6,13,175,631,20,4,12,10,203,0,10,3,0,0,0,0,22,8,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,26.7,2.92,0.7799999999999999,0.07,0.25,17.7,0.15,79.2,100.0,2.92,0.58,30.0,65.0,53.3,0.0,,,,0.0,,,0.0,,0.0,0.0,False,0.2,0.39,2.94,0.78,0.78,4.51,4.12,1.76,0.39,0.98,0.43,0.08
Abdoul Koné,fr FRA,DF,Reims,Ligue 1,19,2005,DF,4,1,133,1.5,0,0,0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,44,65,881,175,0,1,0,0,47,18,1,0,0,0,17,0,0,0,0,5,3,4,1,0,5,2,2,1,1,1,6,5,0,1,1,0,0,0,0,0,0,86,11,38,39,9,1,86,2,1,1,39,25,0,0,5,1,42,0,3,3,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,,,,,67.7,60.0,0.68,0.0,50.0,50.0,100.0,0.0,,,,0.0,,,0.0,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.33,0.67,3.33,0.0,0.0
Abdoulaye Bamba,ci CIV,DF,Angers,Ligue 1,34,1990,DF,19,16,1510,16.8,0,0,0,0,0,0,2,0,1,16,3,0.1,0.1,0.3,0.4,0.0,0.02,0.3,-0.1,-0.1,-0.3,1,0,0,518,585,10459,3330,6,19,4,3,551,34,13,1,1,5,20,0,0,0,0,22,12,17,4,1,19,5,14,8,6,19,41,79,0,10,8,0,0,0,0,2,0,743,90,411,308,26,3,743,2,2,0,408,641,2,0,3,4,468,0,10,7,0,0,0,0,47,11,17,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.06,0.0,0.0,,7.2,0.09000000000000001,88.5,73.7,0.6,0.0,100.0,0.0,39.3,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.0,0.0,0.06,0.0,0.36,0.06,0.95,1.31,1.13,4.7,0.01,0.02
Abdoulaye Doucouré,ml MLI,MF,Everton,Premier League,31,1993,MF,33,31,2564,28.5,3,2,5,3,0,0,5,1,42,82,96,4.1,4.1,2.4,6.6,0.18,0.23,1.4,-1.1,-1.1,-0.4,31,9,0,725,903,10909,2254,28,44,15,0,884,14,5,0,2,23,0,0,0,0,0,48,28,21,20,7,43,29,31,6,25,10,58,20,1,58,52,0,3,2,0,1,3,1161,32,225,538,413,65,1161,45,24,21,604,1396,26,8,38,38,750,1,49,5,10,0,0,0,150,30,44,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,29.0,1.09,0.32,0.10000000000000002,0.33,14.0,0.13,80.3,32.6,2.04,0.11000000000000001,53.29999999999999,46.7,40.5,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.11,0.07,1.09,0.32,0.98,1.47,2.88,1.68,0.35,0.7,0.14,0.08
Abdoulaye Keita,es ESP,"FW,MF",Getafe,La Liga,21,2002,FW,3,1,95,1.1,0,0,0,0,0,0,0,0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,2,0,0,15,27,257,66,0,3,1,1,26,1,0,0,1,1,1,0,0,0,0,2,2,0,1,1,4,2,1,0,1,0,2,3,0,1,1,0,0,0,0,0,0,41,3,10,19,12,1,41,3,1,2,22,24,0,0,3,3,25,0,6,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,1.89,0.0,0.0,,25.8,0.02,55.6,50.0,0.95,0.0,33.3,66.7,50.0,0.0,,,,0.0,,,0.0,,0.0,0.0,False,0.0,0.0,1.82,0.0,0.0,0.91,1.82,1.82,0.0,2.73,0.0,0.0
Abdoulaye Niakhate Ndiaye,sn SEN,DF,Brest,Ligue 1,22,2002,DF,22,19,1707,19.0,1,0,1,1,0,0,4,1,5,39,4,1.0,1.0,0.0,1.0,0.05,0.05,0.2,0.0,0.0,0.0,11,2,0,804,931,15938,5904,1,36,2,0,888,41,36,0,8,2,1,0,0,0,0,49,33,36,12,1,37,12,29,17,12,11,60,144,3,11,6,1,0,2,2,0,0,1203,192,726,448,33,21,1203,8,2,6,598,1594,2,0,15,5,740,0,20,18,0,0,2,0,72,46,35,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18.2,0.58,0.11,0.09,0.5,9.1,0.09,86.4,67.6,0.58,0.0,25.0,75.0,56.8,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.05,0.0,0.58,0.11,0.05,0.26,2.05,2.58,0.58,7.58,0.05,0.0
Abdoulaye Touré,gn GUI,MF,Le Havre,Ligue 1,30,1994,MF,28,26,2324,25.8,10,1,11,2,8,9,5,0,17,109,28,9.4,2.2,0.4,2.6,0.12,0.38,1.1,0.6,-0.2,0.6,38,6,0,868,1059,16170,4315,7,90,10,5,1040,13,12,3,12,11,0,0,0,0,0,61,34,31,21,9,59,26,36,19,17,34,95,42,5,49,35,0,1,5,7,1,5,1354,78,378,784,206,28,1345,33,17,12,714,1521,14,0,29,30,832,0,30,45,1,1,0,0,160,30,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,15.800000000000002,1.47,0.22999999999999998,0.05,0.33,25.4,0.06,82.0,55.9,1.8999999999999997,0.19,51.5,36.4,61.20000000000001,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.39,0.04,1.47,0.23,0.27,0.66,4.22,2.36,1.32,1.63,0.36,0.02
Abdoulie Ceesay,gm GAM,FW,St. Pauli,Bundesliga,20,2004,FW,7,0,60,0.7,0,0,0,0,0,0,1,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0,0,0,8,14,70,2,1,0,0,0,14,0,0,1,0,0,0,0,0,0,0,3,3,1,1,1,3,1,2,0,2,0,3,1,0,1,1,0,0,0,0,0,0,26,0,2,13,11,2,26,0,0,0,12,3,0,0,4,3,18,0,2,3,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,,,,,57.1,66.7,1.48,0.0,,,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,False,0.0,0.0,0.0,0.0,1.43,0.0,0.0,4.29,0.0,1.43,0.0,0.0
Abdukodir Khusanov,uz UZB,DF,Lens,Ligue 1,20,2004,DF,19,17,1478,16.4,0,0,0,0,0,0,3,1,3,68,8,0.2,0.2,0.4,0.7,0.0,0.07,0.30000000000000004,-0.2,-0.2,-0.4,7,4,2,843,943,15068,5745,4,62,4,1,906,36,19,0,4,6,11,0,0,0,0,20,15,13,6,1,14,5,22,15,7,29,49,86,1,16,14,0,0,2,0,0,0,1128,135,540,533,65,5,1128,3,1,2,613,1077,5,0,7,2,724,0,16,6,0,0,1,1,77,33,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,44.000338294993234,0.42407983761840323,0.24407983761840324,0.0,0.0,24.361772665764544,0.033193504736129906,89.1209742895805,64.65500676589987,0.9757577807848444,0.0,65.96752368064952,34.03247631935047,66.06901217861976,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.0,0.0,0.43,0.24,0.24,0.18,4.15,1.22,1.77,5.24,0.01,0.02
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,Premier League,20,2004,FW,11,6,579,6.4,0,2,2,0,0,0,0,0,42,17,60,0.4,0.4,1.6,2.0,0.31,0.31,1.4,-0.4,-0.4,0.4,13,5,0,123,197,2150,601,6,7,7,2,186,11,1,2,2,30,9,1,0,0,0,21,15,13,2,6,19,8,7,0,7,4,25,12,0,17,10,0,2,1,4,0,3,326,19,73,114,157,26,326,69,29,28,217,1055,24,15,18,12,216,0,11,20,2,0,0,0,38,14,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,38.5,2.02,0.78,0.0,0.0,31.2,0.030000000000000002,62.4,57.9,2.64,0.47,42.0,40.6,51.9,0.0,,,,0.0,,,0.0,,0.0,0.0,False,0.0,0.31,2.03,0.78,0.94,6.56,2.66,3.28,0.62,1.88,0.06,0.25
Abdul Mumin,gh GHA,DF,Rayo Vallecano,La Liga,26,1998,DF,24,24,2017,22.4,2,1,3,2,0,0,6,1,12,40,6,0.6,0.6,0.2,0.8,0.13,0.03,0.1,1.4,1.4,0.8,10,3,0,900,1085,17231,7016,1,40,1,0,1017,65,25,0,8,6,1,0,0,0,0,37,25,30,7,0,27,10,40,29,11,23,60,125,0,11,10,0,0,0,1,0,3,1351,253,874,447,39,13,1351,10,5,4,725,1525,5,2,16,5,819,0,22,12,0,0,0,0,93,31,25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,30.0,0.45,0.13,0.2,0.67,12.9,0.06,82.9,63.0,0.49,0.13,50.0,40.0,55.4,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.09,0.04,0.45,0.13,0.04,0.54,1.79,1.65,1.03,5.58,0.03,0.01
